1	9:-65.0	10:-68.0
1	9:-65.0	10:-72.0
1	9:-64.0	10:-71.0
1	9:-64.0	10:-71.0
1	9:-64.0	10:-69.0
1	9:-63.0	10:-69.0
1	9:-65.0	10:-71.0
1	9:-65.0	10:-71.0
1	9:-66.0	10:-69.0
1	9:-62.0	10:-70.0
1	9:-65.0	10:-68.0
1	9:-66.0	10:-68.0
1	9:-65.0	10:-69.0
1	9:-66.0	10:-70.0
1	9:-62.0	10:-70.0
1	9:-64.0	10:-71.0
1	9:-65.0	10:-70.0
1	9:-63.0	10:-70.0
1	9:-66.0	10:-69.0
1	9:-63.0	10:-68.0
1	9:-66.0	10:-68.0
1	9:-66.0	10:-70.0
2	9:-43.0	10:-68.0
2	9:-42.0	10:-69.0
2	9:-41.0	10:-70.0
2	9:-42.0	10:-68.0
2	9:-44.0	10:-70.0
2	9:-40.0	10:-67.0
2	9:-40.0	10:-67.0
2	9:-41.0	10:-69.0
2	9:-42.0	10:-69.0
2	9:-41.0	10:-68.0
2	9:-40.0	10:-70.0
2	9:-41.0	10:-70.0
2	9:-40.0	10:-69.0
2	9:-41.0	10:-66.0
2	9:-42.0	10:-68.0
2	9:-42.0	10:-67.0
2	9:-42.0	10:-68.0
2	9:-44.0	10:-69.0
2	9:-44.0	10:-68.0
2	9:-43.0	10:-69.0
2	9:-43.0	10:-68.0
2	9:-42.0	10:-68.0
2	9:-44.0	10:-69.0
2	9:-40.0	10:-68.0
3	5:-66.0	9:-64.0
3	5:-67.0	9:-63.0
3	5:-68.0	9:-66.0
3	5:-65.0	9:-63.0
3	5:-64.0	9:-66.0
3	5:-64.0	9:-63.0
3	5:-67.0	9:-65.0
3	5:-67.0	9:-65.0
3	5:-66.0	9:-66.0
3	5:-67.0	9:-63.0
3	5:-64.0	9:-64.0
3	5:-66.0	9:-66.0
3	5:-67.0	9:-65.0
3	5:-67.0	9:-66.0
3	5:-65.0	9:-65.0
3	5:-65.0	9:-63.0
3	5:-66.0	9:-64.0
3	5:-68.0	9:-64.0
3	5:-65.0	9:-64.0
3	5:-66.0	9:-64.0
3	5:-66.0	9:-64.0
3	5:-67.0	9:-64.0
3	5:-65.0	9:-63.0
3	5:-66.0	9:-63.0
3	5:-67.0	9:-66.0
3	5:-66.0	9:-63.0
4	4:-66.0	5:-57.0
