OBJECTID,FLOORID,ROOMID,X,Y,TIMESTAMP
"193","1","81",356.7081982400547,268.62885837550596,19/10/02 13:40:57
"193","1","81",356.57960375137753,268.4585073311786,19/10/02 13:40:57
"193","1","81",356.41495559859334,268.2403954582525,19/10/02 13:40:57
"193","1","81",356.30197131345653,268.09072348425406,19/10/02 13:40:57
"193","1","81",356.1967821825525,267.9513778677684,19/10/02 13:40:57
"193","1","81",356.07993755558874,267.79659204115893,19/10/02 13:40:57
"193","1","81",355.96232939747097,267.640794753399,19/10/02 13:40:58
"193","1","81",355.85765912785666,267.5021364802316,19/10/02 13:40:58
"193","1","81",355.69346336241193,267.2846238915867,19/10/02 13:40:58
"193","1","81",355.5610637005212,267.1092320773364,19/10/02 13:40:58
"193","1","81",355.4598147325767,266.97510605371104,19/10/02 13:40:58
"193","1","81",355.33591431901715,266.8109733209666,19/10/02 13:40:58
"193","1","81",355.16015546932425,266.5781429415082,19/10/02 13:40:58
"193","1","81",355.0448984403468,266.42546022971896,19/10/02 13:40:58
"193","1","81",354.90252839449363,266.2368604985679,19/10/02 13:40:58
"193","1","81",354.76647439223524,266.0566277249238,19/10/02 13:40:58
"193","1","81",354.64148315349786,265.8910499597357,19/10/02 13:40:59
"193","1","81",354.50434713347175,265.7093838209559,19/10/02 13:40:59
"193","1","81",354.39062359412253,265.55873254583497,19/10/02 13:40:59
"193","1","81",354.28540540372995,265.4193484338097,19/10/02 13:40:59
"193","1","81",354.16061991016414,265.2540432223305,19/10/02 13:40:59
"193","1","81",353.99062781763826,265.02885215242486,19/10/02 13:40:59
"193","1","81",353.84410923538,264.8347567929907,19/10/02 13:40:59
"193","1","81",353.66756879270355,264.6008910256058,19/10/02 13:40:59
"193","1","81",353.49115495851385,264.36719297837885,19/10/02 13:40:59
"193","1","81",353.34659136255794,264.17568741856724,19/10/02 13:40:59
"193","1","81",353.2406963446569,264.03540670300873,19/10/02 13:41:00
"193","1","84",353.07155017635563,263.8922650648263,19/10/02 13:41:00
"193","1","84",352.7857758187639,263.87735421799033,19/10/02 13:41:00
"193","1","84",352.5564488991721,263.8653886287674,19/10/02 13:41:00
"193","1","84",352.28136887015364,263.8510357798453,19/10/02 13:41:00
"193","1","84",352.28136887015364,263.8510357798453,19/10/02 13:41:00
"193","1","84",352.12787962417644,263.84302717243554,19/10/02 13:41:00
"193","1","84",351.83464930801836,263.82772729609695,19/10/02 13:41:00
"193","1","84",351.61102352700385,263.81605917514526,19/10/02 13:41:00
"193","1","84",351.36959362826434,263.8034620888564,19/10/02 13:41:00
"193","1","84",351.1881048407536,263.7939925495464,19/10/02 13:41:01
"193","1","84",350.9924700530926,263.7837849144766,19/10/02 13:41:01
"193","1","84",350.7868196660007,263.7730546955391,19/10/02 13:41:01
"193","1","84",350.59836335861775,263.7632216119891,19/10/02 13:41:01
"193","1","84",350.29949310018316,263.74762746041824,19/10/02 13:41:01
"193","1","84",350.05649577155526,263.7349485903501,19/10/02 13:41:01
"193","1","84",349.8646981547103,263.7249411673175,19/10/02 13:41:01
"193","1","84",349.8646981547103,263.7249411673175,19/10/02 13:41:01
"193","1","84",349.6386657004558,263.71314747339153,19/10/02 13:41:01
"193","1","84",349.4690594404127,263.7042979286415,19/10/02 13:41:01
"193","1","84",349.30313409138006,263.6956404427618,19/10/02 13:41:02
"193","1","84",349.1033776638552,263.68521775291515,19/10/02 13:41:02
"193","1","84",348.90805635126577,263.67502647403217,19/10/02 13:41:02
"193","1","84",348.67549096162475,263.66289191117806,19/10/02 13:41:02
"193","1","84",348.4971987116889,263.6535891575887,19/10/02 13:41:02
"193","1","84",348.2634503720927,263.64139287196235,19/10/02 13:41:02
"193","1","84",347.9933554708724,263.6273001320216,19/10/02 13:41:02
"193","1","84",347.737667858129,263.61395912108,19/10/02 13:41:02
"193","1","84",347.4486838513894,263.5988808044009,19/10/02 13:41:02
"193","1","84",347.2633450527463,263.58921038308455,19/10/02 13:41:02
"193","1","84",347.01347242927926,263.57617278080136,19/10/02 13:41:03
"193","1","84",346.8065934823971,263.5653784593075,19/10/02 13:41:03
"193","1","84",346.5294769536702,263.5509193519531,19/10/02 13:41:03
"193","1","84",346.2409428107772,263.53586450781705,19/10/02 13:41:03
"193","1","84",345.9423691248588,263.5202858305085,19/10/02 13:41:03
"193","1","84",345.77846451027403,263.51173378047724,19/10/02 13:41:03
