OBJECTID,FLOORID,ROOMID,X,Y,TIMESTAMP
"3","4","108",310.6968198263771,278.89241223212014,19/07/18 17:00:00
"3","4","108",310.83229000111015,279.0191489950212,19/07/18 17:00:00
"3","4","108",310.9980184723518,279.1741933803046,19/07/18 17:00:00
"3","4","108",311.1304199883827,279.2980593129943,19/07/18 17:00:00
"3","4","108",311.33312406755687,279.48769558438767,19/07/18 17:00:00
"3","4","108",311.49591404915776,279.6399909168583,19/07/18 17:00:00
"3","4","108",311.6487480380745,279.7829720937464,19/07/18 17:00:00
"3","4","108",311.78569440417436,279.91108988177444,19/07/18 17:00:00
"3","4","108",311.9363065468899,280.05199244914013,19/07/18 17:00:00
"3","4","108",312.0931123652969,280.1986894019426,19/07/18 17:00:00
"3","4","108",312.28243318283535,280.37580519596804,19/07/18 17:00:01
"3","4","108",312.45961460598716,280.54156419096984,19/07/18 17:00:01
"3","4","108",312.58130953869164,280.65541376607246,19/07/18 17:00:01
"3","4","108",312.7321444363437,280.7965247279399,19/07/18 17:00:01
"3","4","108",312.9102638392529,280.96316123356985,19/07/18 17:00:01
"3","4","108",313.0672197866687,281.1099986369522,19/07/18 17:00:01
"3","4","108",313.2109797601561,281.2444907767198,19/07/18 17:00:01
"3","4","108",313.4030294771692,281.4241595451278,19/07/18 17:00:01
"3","4","108",313.53153123157006,281.5443771237348,19/07/18 17:00:01
"3","4","108",313.72960065579923,281.729677524402,19/07/18 17:00:01
"3","4","108",313.8588952385033,281.8506368197218,19/07/18 17:00:02
"3","4","108",314.0522458794613,282.0315226448722,19/07/18 17:00:02
"3","4","108",314.2625262799659,282.2282468117526,19/07/18 17:00:02
"3","4","108",314.3978603091479,282.35485620605425,19/07/18 17:00:02
"3","4","108",314.52984593874163,282.47833306342994,19/07/18 17:00:02
"3","4","108",314.65896171065987,282.5991250754328,19/07/18 17:00:02
"3","4","108",314.78444221538126,282.71651617651406,19/07/18 17:00:02
"3","4","108",314.9520694975844,282.87333696132663,19/07/18 17:00:02
"3","4","108",315.09384803037796,283.0059753987578,19/07/18 17:00:02
"3","4","108",315.2876537283729,283.18728694459486,19/07/18 17:00:02
"3","4","108",315.40299360062994,283.29519115356254,19/07/18 17:00:03
"3","4","108",315.6178925204077,283.4962360957222,19/07/18 17:00:03
"3","4","108",315.76277346180854,283.6317769375008,19/07/18 17:00:03
"3","4","108",315.9532870926331,283.8100086472245,19/07/18 17:00:03
"3","4","108",316.15008239777575,283.99411706796775,19/07/18 17:00:03
"3","4","108",316.2674841719718,284.1039502533886,19/07/18 17:00:03
"3","4","108",316.3826352719907,284.21167785977616,19/07/18 17:00:03
"3","4","108",316.5142316072674,284.3347905196327,19/07/18 17:00:03
"3","4","108",316.69679914923654,284.50558840430045,19/07/18 17:00:03
"3","4","108",316.69679914923654,284.50558840430045,19/07/18 17:00:03
"3","4","108",316.9077226843883,284.7029142446005,19/07/18 17:00:04
"3","4","108",317.0711422783881,284.8557985999869,19/07/18 17:00:04
"3","4","108",317.2680078651565,285.0399727714812,19/07/18 17:00:04
"3","4","108",317.4409654900405,285.2017802655665,19/07/18 17:00:04
"3","4","108",317.4409654900405,285.2017802655665,19/07/18 17:00:04
"3","4","108",317.63724563723736,285.3854067392645,19/07/18 17:00:04
"3","4","108",317.7497983395227,285.4907034599008,19/07/18 17:00:04
"3","4","108",317.87893820755147,285.61151801460034,19/07/18 17:00:04
"3","4","108",318.0138939410561,285.7377735009687,19/07/18 17:00:04
"3","4","108",318.16743915641416,285.8814200533687,19/07/18 17:00:05
"3","4","108",318.37273659765646,286.0734824994842,19/07/18 17:00:05
"3","4","108",318.5500708012755,286.23938442559165,19/07/18 17:00:05
"3","4","108",318.71236268875253,286.39121377477846,19/07/18 17:00:05
"3","4","108",318.8586745823124,286.52809331893087,19/07/18 17:00:05
"3","4","108",318.9752060808677,286.6371123331309,19/07/18 17:00:05
