floor,room,x,y,timestamp
"Level 2","210",333.24211871385074,260.16357238585096,19/06/02 21:11:07
"Level 2","210",333.00937347361685,260.0829850490579,19/06/02 21:11:07
"Level 2","210",332.77506982973506,260.00185811970647,19/06/02 21:11:07
"Level 2","210",332.5813306397657,259.9347765100616,19/06/02 21:11:07
"Level 2","210",332.4355397755477,259.88429686345626,19/06/02 21:11:07
"Level 2","210",332.2774261426388,259.82955049539305,19/06/02 21:11:07
"Level 2","210",332.1279135874136,259.77778222451195,19/06/02 21:11:07
"Level 2","210",332.1279135874136,259.77778222451195,19/06/02 21:11:07
"Level 2","210",331.8949368195483,259.6971147219755,19/06/02 21:11:08
"Level 2","210",331.6147531036749,259.600101956205,19/06/02 21:11:08
"Level 2","210",331.46321072692126,259.54763086574746,19/06/02 21:11:08
"Level 2","210",331.2702561218781,259.4808209162647,19/06/02 21:11:08
"Level 2","210",331.11910526822976,259.42848538950045,19/06/02 21:11:08
"Level 2","210",330.8392143430275,259.33157400161593,19/06/02 21:11:08
"Level 2","210",330.6632322085386,259.27064071882415,19/06/02 21:11:08
"Level 2","210",330.48858544891726,259.21016980554884,19/06/02 21:11:08
"Level 2","203A",330.43131503783655,259.08512250299225,19/06/02 21:11:08
"Level 2","203A",330.55013466481944,258.9857124375546,19/06/02 21:11:08
"Level 2","203A",330.7340663366203,258.8318265855782,19/06/02 21:11:09
"Level 2","203A",330.92935743846385,258.66843690235305,19/06/02 21:11:09
"Level 2","203A",331.1470180296081,258.48633185659355,19/06/02 21:11:09
"Level 2","203A",331.3487138818504,258.3175836591867,19/06/02 21:11:09
"Level 2","203A",331.46880816254776,258.21710715874684,19/06/02 21:11:09
"Level 2","203A",331.64798509995035,258.06719934027944,19/06/02 21:11:09
"Level 2","203A",331.8727438130211,257.87915567324063,19/06/02 21:11:09
"Level 2","203A",332.0989599373097,257.6898926677119,19/06/02 21:11:09
"Level 2","203A",332.27578469590117,257.5419527922138,19/06/02 21:11:09
