floor,room,x,y,timestamp
"Level 1","110",366.8323857144531,290.28078758167146,19/06/02 21:16:41
"Level 1","110",367.0064317096366,290.2900016986189,19/06/02 21:16:41
"Level 1","110",367.2681414673709,290.30385679658593,19/06/02 21:16:41
"Level 1","110",367.47623374025255,290.31487334733254,19/06/02 21:16:42
"Level 1","110",367.7710433697594,290.3304807757059,19/06/02 21:16:42
"Level 1","110",367.9303079189709,290.3389123525455,19/06/02 21:16:42
"Level 1","110",368.2210388230787,290.35430385033806,19/06/02 21:16:42
"Level 1","110",368.49376259370746,290.3687420378658,19/06/02 21:16:42
"Level 1","110",368.7050035671589,290.379925283027,19/06/02 21:16:42
"Level 1","110",368.91279228926754,290.3909257635829,19/06/02 21:16:42
"Level 1","110",369.17847854631896,290.40499138021033,19/06/02 21:16:42
"Level 1","110",369.4591430280017,290.41984995454567,19/06/02 21:16:42
"Level 1","110",369.7359420452103,290.43450388848305,19/06/02 21:16:42
"Level 1","110",369.96810042871215,290.4467945159902,19/06/02 21:16:43
"Level 1","110",370.2528707166987,290.4618704545884,19/06/02 21:16:43
"Level 1","110",370.5137888044973,290.4756836409943,19/06/02 21:16:43
"Level 1","110",370.67831537844586,290.4843937931108,19/06/02 21:16:43
"Level 1","110",370.9220028057002,290.4972947762731,19/06/02 21:16:43
"Level 1","110",371.1135240705195,290.5074340462408,19/06/02 21:16:43
"Level 1","110",371.2683304219927,290.51562960296803,19/06/02 21:16:43
"Level 1","110",371.41967942199017,290.5236421250854,19/06/02 21:16:43
"Level 1","113E",371.40900071580626,290.528541666667,19/06/02 21:16:43
"Level 1","113E",371.1944207261617,290.528541666667,19/06/02 21:16:43
"Level 1","113E",370.99685907239717,290.528541666667,19/06/02 21:16:44
"Level 1","110",371.1750286875073,290.584365906973,19/06/02 21:16:44
"Level 1","110",371.4624946029829,290.6570324309306,19/06/02 21:16:44
"Level 1","110",371.74205937847944,290.7277016802665,19/06/02 21:16:44
"Level 1","110",371.9227433945481,290.7733755451512,19/06/02 21:16:44
"Level 1","110",372.20757219809985,290.8453754517936,19/06/02 21:16:44
"Level 1","110",372.39956958863587,290.89390914649647,19/06/02 21:16:44
"Level 1","110",372.58941023578456,290.94189765292975,19/06/02 21:16:44
"Level 1","110",372.83302535379636,291.0034794365654,19/06/02 21:16:44
"Level 1","110",373.0062271355108,291.047261919089,19/06/02 21:16:44
"Level 1","110",373.2358345213074,291.1053027848147,19/06/02 21:16:45
"Level 1","110",373.4542588290207,291.1605167574455,19/06/02 21:16:45
"Level 1","110",373.71335661022965,291.2260122966103,19/06/02 21:16:45
"Level 1","110",373.933125436138,291.28156614071236,19/06/02 21:16:45
"Level 1","110",374.2060681103602,291.35056143478954,19/06/02 21:16:45
"Level 1","110",374.471220199916,291.4175874007592,19/06/02 21:16:45
"Level 1","110",374.6649873821017,291.4665684688736,19/06/02 21:16:45
"Level 1","110",374.93523756175847,291.53488314584,19/06/02 21:16:45
"Level 1","110",375.08417865081185,291.5725329353744,19/06/02 21:16:45
"Level 1","110",375.37214175865046,291.6453251411565,19/06/02 21:16:45
