floor,room,x,y,timestamp
"Level 2","210",333.1562847078069,261.3152185981087,19/06/02 21:11:07
"Level 2","210",333.0229758722817,261.19743832075244,19/06/02 21:11:07
"Level 2","210",332.83645200700147,261.03264179770343,19/06/02 21:11:07
"Level 2","210",332.6849980749013,260.8988300660265,19/06/02 21:11:08
"Level 2","210",332.6849980749013,260.8988300660265,19/06/02 21:11:08
"Level 2","210",332.5632012672554,260.7912208312063,19/06/02 21:11:08
"Level 2","210",332.3555946368289,260.60779738131794,19/06/02 21:11:08
"Level 2","210",332.2321041936636,260.4986917951085,19/06/02 21:11:08
"Level 2","210",332.10836454984894,260.38936603653417,19/06/02 21:11:08
"Level 2","210",331.97220242721943,260.2690648389013,19/06/02 21:11:08
"Level 2","210",331.82271957302675,260.1369945829617,19/06/02 21:11:08
"Level 2","210",331.60667288743286,259.94611422269975,19/06/02 21:11:08
"Level 2","210",331.4650591824977,259.8209964735348,19/06/02 21:11:08
"Level 2","210",331.27242435816845,259.6508008300983,19/06/02 21:11:09
"Level 2","210",331.05304117371776,259.45697262501267,19/06/02 21:11:09
"Level 2","210",330.92374877829985,259.3427409303738,19/06/02 21:11:09
"Level 2","210",330.79803061131867,259.2316671180684,19/06/02 21:11:09
"Level 2","203A",330.87049796236573,259.07330497160046,19/06/02 21:11:09
"Level 2","203A",331.10329731849845,258.9430286749988,19/06/02 21:11:09
"Level 2","203A",331.23825753822274,258.8675039059174,19/06/02 21:11:09
"Level 2","203A",331.485356719491,258.72922531802226,19/06/02 21:11:09
"Level 2","203A",331.73415305752474,258.5899969882471,19/06/02 21:11:09
"Level 2","203A",331.8776673386274,258.5096853011269,19/06/02 21:11:09
"Level 2","203A",332.07295858172193,258.4003988308732,19/06/02 21:11:10
"Level 2","203A",332.27718037626096,258.2861147558661,19/06/02 21:11:10
"Level 2","203A",332.44749878390616,258.1908032749423,19/06/02 21:11:10
"Level 2","203A",332.6007576305284,258.10503845457913,19/06/02 21:11:10
"Level 2","203A",332.86254639819856,257.9585394620109,19/06/02 21:11:10
"Level 2","203A",333.1204219974968,257.814230308332,19/06/02 21:11:10
