floor,room,x,y,timestamp
"Level 1","145",313.43193116895304,245.29317655713828,19/06/02 21:07:00
"Level 1","145",313.2739902990499,245.31844683987276,19/06/02 21:07:00
"Level 1","145",313.08667376288037,245.3484171815123,19/06/02 21:07:00
"Level 1","145",312.8994719911738,245.37836916102412,19/06/02 21:07:00
"Level 1","145",312.70496797684706,245.40948948749846,19/06/02 21:07:00
"Level 1","145",312.54497297332017,245.43508842827742,19/06/02 21:07:00
"Level 1","145",312.389001568602,245.46004359978014,19/06/02 21:07:00
"Level 1","145",312.20674860947014,245.48920377731542,19/06/02 21:07:00
"Level 1","143B",312.0013536491667,245.5279118591528,19/06/02 21:07:00
"Level 1","143B",312.13071931516043,245.7238938079217,19/06/02 21:07:00
"Level 1","143B",312.219189697287,245.85792162561432,19/06/02 21:07:01
"Level 1","143B",312.30907633769976,245.99409499759105,19/06/02 21:07:01
"Level 1","143B",312.45211074356394,246.21078434392524,19/06/02 21:07:01
"Level 1","143B",312.54097759175517,246.34541278614506,19/06/02 21:07:01
"Level 1","143B",312.6943814358928,246.5778112675489,19/06/02 21:07:01
"Level 1","143B",312.8488369599995,246.811802986913,19/06/02 21:07:01
"Level 1","143B",312.9487682374702,246.96319343778126,19/06/02 21:07:01
"Level 1","143B",313.0888896533853,247.1754697627579,19/06/02 21:07:01
"Level 1","143B",313.18401363540124,247.3195774224444,19/06/02 21:07:01
"Level 1","143B",313.3437070019043,247.5615041881927,19/06/02 21:07:01
"Level 1","143B",313.4921339208167,247.7863628985373,19/06/02 21:07:02
"Level 1","143B",313.6002911828238,247.95021526862976,19/06/02 21:07:02
"Level 1","143B",313.72755005918214,248.14300554567328,19/06/02 21:07:02
"Level 1","143B",313.847733110202,248.32507633212913,19/06/02 21:07:02
"Level 1","143B",313.98606393772843,248.53464001307336,19/06/02 21:07:02
"Level 1","143B",314.1393955637629,248.7669290879783,19/06/02 21:07:02
"Level 1","143B",314.2258098726963,248.89784206659743,19/06/02 21:07:02
"Level 1","143B",314.340988808389,249.07233189046832,19/06/02 21:07:02
"Level 1","143B",314.49293106006127,249.302516138772,19/06/02 21:07:02
"Level 1","143B",314.63162540056396,249.51263052210655,19/06/02 21:07:02
"Level 1","143B",314.87093059893084,249.60034617387848,19/06/02 21:07:03
"Level 1","143B",315.06224644807355,249.665943059894,19/06/02 21:07:03
"Level 1","143B",315.23000315270093,249.72346217020868,19/06/02 21:07:03
"Level 1","143B",315.37578632319145,249.77344716654065,19/06/02 21:07:03
"Level 1","143B",315.525978310045,249.8249438234367,19/06/02 21:07:03
"Level 1","143B",315.73269950433223,249.89582277402766,19/06/02 21:07:03
"Level 1","143B",315.95078636327054,249.97059869505753,19/06/02 21:07:03
