floor,room,x,y,timestamp
"Level 1","145",311.5590758945633,244.10750906918562,19/06/02 21:07:00
"Level 1","145",311.57190887310446,244.26110279697397,19/06/02 21:07:00
"Level 1","145",311.57190887310446,244.26110279697397,19/06/02 21:07:00
"Level 1","145",311.587092922553,244.44283572438763,19/06/02 21:07:00
"Level 1","145",311.6074309619815,244.68625507412926,19/06/02 21:07:00
"Level 1","145",311.6269163225457,244.91946898910348,19/06/02 21:07:00
"Level 1","145",311.6446130612355,245.13127547318194,19/06/02 21:07:00
"Level 1","145",311.66455817543516,245.36999202922317,19/06/02 21:07:00
"Level 1","143B",311.6953762456956,245.53938636918295,19/06/02 21:07:00
"Level 1","143B",311.8720077352862,245.70326823435408,19/06/02 21:07:00
"Level 1","143B",312.04670246867187,245.86535314236892,19/06/02 21:07:01
"Level 1","143B",312.16802133970447,245.97791496762085,19/06/02 21:07:01
"Level 1","143B",312.3431241327978,246.1403784807539,19/06/02 21:07:01
"Level 1","143B",312.5163566608541,246.30110672842923,19/06/02 21:07:01
"Level 1","143B",312.7072849466541,246.47825341763718,19/06/02 21:07:01
"Level 1","143B",312.9070451008657,246.66359447281909,19/06/02 21:07:01
"Level 1","143B",313.0400728811604,246.78702003416615,19/06/02 21:07:01
"Level 1","143B",313.2338163665169,246.966778716033,19/06/02 21:07:01
"Level 1","143B",313.403940692839,247.12462311837183,19/06/02 21:07:01
"Level 1","143B",313.6177685589811,247.3230164490863,19/06/02 21:07:01
"Level 1","143B",313.809012231282,247.50045575954846,19/06/02 21:07:02
"Level 1","143B",314.028612298256,247.70420464175984,19/06/02 21:07:02
"Level 1","143B",314.14276789295724,247.8101202507077,19/06/02 21:07:02
"Level 1","143B",314.31600507105804,247.97085281277776,19/06/02 21:07:02
"Level 1","143B",314.4662735915805,248.11027464224205,19/06/02 21:07:02
"Level 1","143B",314.6641050815505,248.2794985860195,19/06/02 21:07:02
"Level 1","143B",314.8633620107825,248.36110974743886,19/06/02 21:07:02
"Level 1","143B",314.8633620107825,248.36110974743886,19/06/02 21:07:02
"Level 1","143B",315.0396484291448,248.43331270369464,19/06/02 21:07:02
"Level 1","143B",315.2315790899901,248.5119231901853,19/06/02 21:07:02
"Level 1","143B",315.48236617019234,248.61463994369123,19/06/02 21:07:03
"Level 1","143B",315.69230335659915,248.70062549849126,19/06/02 21:07:03
"Level 1","143B",315.9255141712963,248.79614340854008,19/06/02 21:07:03
