"deviceId","deviceAxis","deviceOrdinat","rssiMeasure","timestamp"
"49","366.46197180445876","261.9711148206998","-62","19/05/21 13:33:15"
"107","370.9426592903918","257.4764644125018","-67","19/05/21 13:33:15"
"36","359.9403490216346","265.00092130262544","-63","19/05/21 13:33:15"
"31","358.7998041162236","253.13768634322625","-47","19/05/21 13:33:15"
"37","358.5175434532828","257.80068682301845","-47","19/05/21 13:33:15"
"47","348.6583696282847","273.2439572035772","-69","19/05/21 13:33:15"
"30","349.77026430498614","268.45536153217046","-66","19/05/21 13:33:15"
"77","343.60260785318013","269.83284640091205","-71","19/05/21 13:33:15"
"7","341.8518868320746","250.83586044331597","-66","19/05/21 13:33:15"
"8","349.88633645378127","247.36342323006437","-64","19/05/21 13:33:15"
"27","365.07566351807026","246.12389315526002","-66","19/05/21 13:33:15"
"5","349.0175421431946","245.8744714497827","-64","19/05/21 13:33:15"
"86","353.092819793003","266.1114779507493","-63","19/05/21 13:33:15"
"29","350.27018568828277","265.4388747461446","-63","19/05/21 13:33:15"
"85","351.6810908985149","265.23096615029397","-62","19/05/21 13:33:15"
"50","344.7989224826419","262.2768447147534","-64","19/05/21 13:33:15"
"2","349.85184701127395","259.9246424442085","-60","19/05/21 13:33:15"
"88","352.825547567324","259.47865545098927","-53","19/05/21 13:33:15"
"1","351.94378716577114","256.7149943124461","-51","19/05/21 13:33:15"
"3","342.29979385616775","254.87911383492684","-64","19/05/21 13:33:15"
"4","351.12375873917784","252.1224045327217","-57","19/05/21 13:33:15"
"18","366.45324089300533","243.51485857760116","-68","19/05/21 13:33:15"
"17","358.76276763524004","240.83679141145305","-65","19/05/21 13:33:15"
"6","346.39106863933546","240.6922782261207","-70","19/05/21 13:33:15"
"143","348.52202706228127","272.71723179849874","-70","19/05/21 13:33:15"
"135","365.58927303338476","265.14258956120653","-66","19/05/21 13:33:15"
"123","355.4569451905428","263.56891022113797","-62","19/05/21 13:33:15"
"157","349.6520616299558","263.1047039638521","-63","19/05/21 13:33:15"
"126","339.5772075232581","261.43992524779935","-71","19/05/21 13:33:15"
"125","344.4690647865363","260.8459692714832","-67","19/05/21 13:33:15"

"49","366.46197180445876","261.9711148206998","-64","19/05/21 13:33:16"
"107","370.9426592903918","257.4764644125018","-67","19/05/21 13:33:16"
"36","359.9403490216346","265.00092130262544","-61","19/05/21 13:33:16"
"31","358.7998041162236","253.13768634322625","-53","19/05/21 13:33:16"
"37","358.5175434532828","257.80068682301845","-47","19/05/21 13:33:16"
"45","348.17266268205276","275.8205047010064","-69","19/05/21 13:33:16"
"47","348.6583696282847","273.2439572035772","-68","19/05/21 13:33:16"
"30","349.77026430498614","268.45536153217046","-66","19/05/21 13:33:16"
"77","343.60260785318013","269.83284640091205","-69","19/05/21 13:33:16"
"7","341.8518868320746","250.83586044331597","-68","19/05/21 13:33:16"
"8","349.88633645378127","247.36342323006437","-63","19/05/21 13:33:16"
"27","365.07566351807026","246.12389315526002","-68","19/05/21 13:33:16"
"5","349.0175421431946","245.8744714497827","-65","19/05/21 13:33:16"
"86","353.092819793003","266.1114779507493","-60","19/05/21 13:33:16"
"29","350.27018568828277","265.4388747461446","-61","19/05/21 13:33:16"
"85","351.6810908985149","265.23096615029397","-61","19/05/21 13:33:16"
"50","344.7989224826419","262.2768447147534","-65","19/05/21 13:33:16"
"2","349.85184701127395","259.9246424442085","-53","19/05/21 13:33:16"
"88","352.825547567324","259.47865545098927","-45","19/05/21 13:33:16"
"1","351.94378716577114","256.7149943124461","-47","19/05/21 13:33:16"
"3","342.29979385616775","254.87911383492684","-64","19/05/21 13:33:16"
"4","351.12375873917784","252.1224045327217","-57","19/05/21 13:33:16"
"18","366.45324089300533","243.51485857760116","-68","19/05/21 13:33:16"
"17","358.76276763524004","240.83679141145305","-69","19/05/21 13:33:16"
"6","346.39106863933546","240.6922782261207","-68","19/05/21 13:33:16"
"129","363.1471838047377","274.6487276178541","-68","19/05/21 13:33:16"
"127","359.81387073729917","276.0867776957101","-70","19/05/21 13:33:16"
"146","358.6798575351867","275.23877997943384","-72","19/05/21 13:33:16"
"145","353.38483852196","275.86261701836827","-70","19/05/21 13:33:16"
"144","351.56826608376315","275.52271573648625","-70","19/05/21 13:33:16"
"143","348.52202706228127","272.71723179849874","-68","19/05/21 13:33:16"
"122","342.5460765221193","270.6603080033983","-69","19/05/21 13:33:16"
"135","365.58927303338476","265.14258956120653","-65","19/05/21 13:33:16"
"123","355.4569451905428","263.56891022113797","-58","19/05/21 13:33:16"
"157","349.6520616299558","263.1047039638521","-61","19/05/21 13:33:16"
"126","339.5772075232581","261.43992524779935","-66","19/05/21 13:33:16"
"125","344.4690647865363","260.8459692714832","-66","19/05/21 13:33:16"

