deviceId,x,y,rssi,timestamp
"12","367.64576924847364","250.25166439888784","-60","19/10/02 13:37:54"
"11","364.68923587334785","253.9193781242816","-54","19/10/02 13:37:54"
"13","354.002268342766","242.17198496729267","-70","19/10/02 13:37:54"
"17","366.49506694893125","276.28779609305093","-71","19/10/02 13:37:54"

"12","367.64576924847364","250.25166439888784","-64","19/10/02 13:37:55"
"11","364.68923587334785","253.9193781242816","-54","19/10/02 13:37:55"
"13","354.002268342766","242.17198496729267","-69","19/10/02 13:37:55"
"17","366.49506694893125","276.28779609305093","-70","19/10/02 13:37:55"

"12","367.64576924847364","250.25166439888784","-63","19/10/02 13:37:56"
"11","364.68923587334785","253.9193781242816","-57","19/10/02 13:37:56"
"17","366.49506694893125","276.28779609305093","-67","19/10/02 13:37:56"

"12","367.64576924847364","250.25166439888784","-65","19/10/02 13:37:57"
"11","364.68923587334785","253.9193781242816","-56","19/10/02 13:37:57"
"13","354.002268342766","242.17198496729267","-69","19/10/02 13:37:57"
"4","341.6023437548735","266.0601518937291","-70","19/10/02 13:37:57"
"17","366.49506694893125","276.28779609305093","-69","19/10/02 13:37:57"

"12","367.64576924847364","250.25166439888784","-66","19/10/02 13:37:58"
"11","364.68923587334785","253.9193781242816","-59","19/10/02 13:37:58"
"13","354.002268342766","242.17198496729267","-70","19/10/02 13:37:58"
"4","341.6023437548735","266.0601518937291","-69","19/10/02 13:37:58"
"17","366.49506694893125","276.28779609305093","-68","19/10/02 13:37:58"

"12","367.64576924847364","250.25166439888784","-66","19/10/02 13:37:59"
"11","364.68923587334785","253.9193781242816","-62","19/10/02 13:37:59"
"13","354.002268342766","242.17198496729267","-68","19/10/02 13:37:59"
"4","341.6023437548735","266.0601518937291","-68","19/10/02 13:37:59"
"17","366.49506694893125","276.28779609305093","-69","19/10/02 13:37:59"

"12","367.64576924847364","250.25166439888784","-69","19/10/02 13:38:00"
"11","364.68923587334785","253.9193781242816","-62","19/10/02 13:38:00"
"13","354.002268342766","242.17198496729267","-68","19/10/02 13:38:00"
"4","341.6023437548735","266.0601518937291","-65","19/10/02 13:38:00"
"20","338.53583583733615","271.1480449125745","-71","19/10/02 13:38:00"

"12","367.64576924847364","250.25166439888784","-69","19/10/02 13:38:01"
"11","364.68923587334785","253.9193781242816","-66","19/10/02 13:38:01"
"13","354.002268342766","242.17198496729267","-68","19/10/02 13:38:01"
"4","341.6023437548735","266.0601518937291","-62","19/10/02 13:38:01"
"14","340.27416870474167","246.18636210075823","-71","19/10/02 13:38:01"
"20","338.53583583733615","271.1480449125745","-68","19/10/02 13:38:01"

"11","364.68923587334785","253.9193781242816","-70","19/10/02 13:38:02"
"13","354.002268342766","242.17198496729267","-70","19/10/02 13:38:02"
"4","341.6023437548735","266.0601518937291","-60","19/10/02 13:38:02"
"14","340.27416870474167","246.18636210075823","-69","19/10/02 13:38:02"
"20","338.53583583733615","271.1480449125745","-68","19/10/02 13:38:02"

"11","364.68923587334785","253.9193781242816","-71","19/10/02 13:38:03"
"13","354.002268342766","242.17198496729267","-71","19/10/02 13:38:03"
"4","341.6023437548735","266.0601518937291","-57","19/10/02 13:38:03"
"14","340.27416870474167","246.18636210075823","-68","19/10/02 13:38:03"
"20","338.53583583733615","271.1480449125745","-65","19/10/02 13:38:03"

"4","341.6023437548735","266.0601518937291","-57","19/10/02 13:38:04"
"14","340.27416870474167","246.18636210075823","-65","19/10/02 13:38:04"
"20","338.53583583733615","271.1480449125745","-65","19/10/02 13:38:04"

"4","341.6023437548735","266.0601518937291","-52","19/10/02 13:38:05"
"14","340.27416870474167","246.18636210075823","-65","19/10/02 13:38:05"
"20","338.53583583733615","271.1480449125745","-66","19/10/02 13:38:05"

"4","341.6023437548735","266.0601518937291","-56","19/10/02 13:38:06"
"14","340.27416870474167","246.18636210075823","-66","19/10/02 13:38:06"
"20","338.53583583733615","271.1480449125745","-62","19/10/02 13:38:06"

"4","341.6023437548735","266.0601518937291","-56","19/10/02 13:38:07"
"14","340.27416870474167","246.18636210075823","-65","19/10/02 13:38:07"
"20","338.53583583733615","271.1480449125745","-65","19/10/02 13:38:07"

"4","341.6023437548735","266.0601518937291","-59","19/10/02 13:38:08"
"14","340.27416870474167","246.18636210075823","-66","19/10/02 13:38:08"
"20","338.53583583733615","271.1480449125745","-63","19/10/02 13:38:08"

"4","341.6023437548735","266.0601518937291","-62","19/10/02 13:38:09"
"14","340.27416870474167","246.18636210075823","-66","19/10/02 13:38:09"
"8","319.91451901032787","246.96703177008376","-72","19/10/02 13:38:09"
"20","338.53583583733615","271.1480449125745","-64","19/10/02 13:38:09"

"4","341.6023437548735","266.0601518937291","-63","19/10/02 13:38:10"
"14","340.27416870474167","246.18636210075823","-66","19/10/02 13:38:10"
"8","319.91451901032787","246.96703177008376","-69","19/10/02 13:38:10"
"20","338.53583583733615","271.1480449125745","-66","19/10/02 13:38:10"

"4","341.6023437548735","266.0601518937291","-64","19/10/02 13:38:11"
"14","340.27416870474167","246.18636210075823","-67","19/10/02 13:38:11"
"8","319.91451901032787","246.96703177008376","-70","19/10/02 13:38:11"
"20","338.53583583733615","271.1480449125745","-65","19/10/02 13:38:11"

"4","341.6023437548735","266.0601518937291","-66","19/10/02 13:38:12"
"14","340.27416870474167","246.18636210075823","-67","19/10/02 13:38:12"
"8","319.91451901032787","246.96703177008376","-66","19/10/02 13:38:12"
"20","338.53583583733615","271.1480449125745","-67","19/10/02 13:38:12"
"23","326.2418858581724","241.60669274034515","-70","19/10/02 13:38:12"

"4","341.6023437548735","266.0601518937291","-66","19/10/02 13:38:13"
"14","340.27416870474167","246.18636210075823","-68","19/10/02 13:38:13"
"8","319.91451901032787","246.96703177008376","-64","19/10/02 13:38:13"
"20","338.53583583733615","271.1480449125745","-70","19/10/02 13:38:13"
"23","326.2418858581724","241.60669274034515","-68","19/10/02 13:38:13"
"24","320.5778482598808","240.33366454038762","-70","19/10/02 13:38:13"

"4","341.6023437548735","266.0601518937291","-69","19/10/02 13:38:14"
"14","340.27416870474167","246.18636210075823","-63","19/10/02 13:38:14"
"8","319.91451901032787","246.96703177008376","-62","19/10/02 13:38:14"
"20","338.53583583733615","271.1480449125745","-72","19/10/02 13:38:14"
"23","326.2418858581724","241.60669274034515","-67","19/10/02 13:38:14"
"24","320.5778482598808","240.33366454038762","-69","19/10/02 13:38:14"

"4","341.6023437548735","266.0601518937291","-71","19/10/02 13:38:15"
"14","340.27416870474167","246.18636210075823","-68","19/10/02 13:38:15"
