"deviceId","deviceAxis","deviceOrdinat","rssiMeasure","timestamp"
"177","338.9310067740497","257.8657852558205","-67","19/05/02 00:00:00"
"112","342.3990801366853","256.5931670757527","-70","19/05/02 00:00:00"
"176","338.3426248265632","252.04802156864994","-65","19/05/02 00:00:00"
"178","334.2414121655","251.14483465990878","-58","19/05/02 00:00:00"
"86","344.88138172498594","246.36272424729674","-68","19/05/02 00:00:00"
"172","338.0801202436581","244.68547117023815","-59","19/05/02 00:00:00"
"187","327.5753326031222","244.18316039277389","-36","19/05/02 00:00:00"
"175","334.9570718949766","243.9222935563395","-53","19/05/02 00:00:00"
"152","329.80528698154285","259.2329416763141","-69","19/05/02 00:00:00"
"131","329.80012897276913","263.6961381413646","-69","19/05/02 00:00:00"
"174","334.5136132078712","243.91178922566684","-52","19/05/02 00:00:00"
"173","333.04019969024665","243.6831941229776","-48","19/05/02 00:00:00"
"188","327.0403380700125","242.07453449111262","-45","19/05/02 00:00:00"
"189","321.4288291424043","241.1492744135318","-58","19/05/02 00:00:00"
"88","342.1531207548902","240.6990223389778","-66","19/05/02 00:00:00"
"93","315.9129768450404","250.21407642959988","-66","19/05/02 00:00:00"
"91","311.9357256955187","246.34151464753734","-67","19/05/02 00:00:00"
"49","327.3579003754547","260.4596338131927","-68","19/05/02 00:00:00"
"66","347.6510145919208","248.10714618026273","-71","19/05/02 00:00:00"
"65","333.63924420219223","241.48024241881174","-58","19/05/02 00:00:00"

"128","337.84262293513945","262.26233521137294","-68","19/05/02 00:00:01"
"177","338.9310067740497","257.8657852558205","-65","19/05/02 00:00:01"
"112","342.3990801366853","256.5931670757527","-66","19/05/02 00:00:01"
"87","347.4234899918574","253.21735607015938","-69","19/05/02 00:00:01"
"176","338.3426248265632","252.04802156864994","-63","19/05/02 00:00:01"
"178","334.2414121655","251.14483465990878","-57","19/05/02 00:00:01"
"86","344.88138172498594","246.36272424729674","-65","19/05/02 00:00:01"
"172","338.0801202436581","244.68547117023815","-58","19/05/02 00:00:01"
"187","327.5753326031222","244.18316039277389","-50","19/05/02 00:00:01"
"175","334.9570718949766","243.9222935563395","-52","19/05/02 00:00:01"
"152","329.80528698154285","259.2329416763141","-64","19/05/02 00:00:01"
"131","329.80012897276913","263.6961381413646","-69","19/05/02 00:00:01"
"174","334.5136132078712","243.91178922566684","-51","19/05/02 00:00:01"
"173","333.04019969024665","243.6831941229776","-47","19/05/02 00:00:01"
"188","327.0403380700125","242.07453449111262","-53","19/05/02 00:00:01"
"189","321.4288291424043","241.1492744135318","-62","19/05/02 00:00:01"
"88","342.1531207548902","240.6990223389778","-65","19/05/02 00:00:01"
"93","315.9129768450404","250.21407642959988","-69","19/05/02 00:00:01"
"91","311.9357256955187","246.34151464753734","-68","19/05/02 00:00:01"
"7","333.65329584251725","264.55166397074044","-70","19/05/02 00:00:01"
"45","337.3218444500137","263.5420866643492","-71","19/05/02 00:00:01"
"49","327.3579003754547","260.4596338131927","-70","19/05/02 00:00:01"
"66","347.6510145919208","248.10714618026273","-68","19/05/02 00:00:01"
"65","333.63924420219223","241.48024241881174","-57","19/05/02 00:00:01"

"128","337.84262293513945","262.26233521137294","-68","19/05/02 00:00:02"
"177","338.9310067740497","257.8657852558205","-66","19/05/02 00:00:02"
"112","342.3990801366853","256.5931670757527","-68","19/05/02 00:00:02"
"87","347.4234899918574","253.21735607015938","-70","19/05/02 00:00:02"
"176","338.3426248265632","252.04802156864994","-58","19/05/02 00:00:02"
"178","334.2414121655","251.14483465990878","-50","19/05/02 00:00:02"
"86","344.88138172498594","246.36272424729674","-68","19/05/02 00:00:02"
"172","338.0801202436581","244.68547117023815","-59","19/05/02 00:00:02"
"187","327.5753326031222","244.18316039277389","-53","19/05/02 00:00:02"
"175","334.9570718949766","243.9222935563395","-53","19/05/02 00:00:02"
"152","329.80528698154285","259.2329416763141","-62","19/05/02 00:00:02"
